ID,Text,From,To,Context
"Telefol-p,ᵐb","{p,ᵐb} → f / #_","p|ᵐb",f,#_
Telefol-s,"s → s / #_ (?)",s,s,#_
"Telefol-ᵐb-ⁿd-ᵑɡ","ᵐb ⁿd ᵑɡ → b n k / V_V","ᵐb",b,V_V
"Telefol-ᵐb-ⁿd-ᵑɡ","ᵐb ⁿd ᵑɡ → b n k / V_V","ⁿd",n,V_V
"Telefol-ᵐb-ⁿd-ᵑɡ","ᵐb ⁿd ᵑɡ → b n k / V_V","ᵑɡ",k,V_V
"Middle-Wahgi-n-ŋ","n ŋ → m n / #_",n,m,#_
"Middle-Wahgi-n-ŋ","n ŋ → m n / #_","ŋ",n,#_
"Middle-Wahgi-ᵑɡ","ᵑɡ → {ᵑɡ,ŋ} / V_V","ᵑɡ","ᵑɡ|ŋ",V_V
Middle-Wahgi-i,"i → {i,e}",i,i|e,
"Pre-Finnic-ŋ","ŋ → k / _#, in latives","ŋ",k,"_#,"
"Pre-Finnic-ŋ_2","ŋ → n / _# else","ŋ",n,_#
Pre-Finnic-iw-ow,"iw ow → y uː / _(C) (*)",iw,y,_|_C
Pre-Finnic-iw-ow,"iw ow → y uː / _(C) (*)",ow,"uː",_|_C
Pre-Finnic-x,"x → @ / _C",x,@,_C
Pre-Finnic-m,"m → n / _{t,tsʲ,#}",m,n,"_t|_tsʲ|_#"
"Pre-Finnic-ɤː?-ɑː-æː","ɤ(ː?) ɑː æː → ɑ(ː?) oː eː / stressed","ɤ|ɤː?","ɑ|ɑː?",
"Pre-Finnic-ɤː?-ɑː-æː","ɤ(ː?) ɑː æː → ɑ(ː?) oː eː / stressed","ɑː","oː",
"Pre-Finnic-ɤː?-ɑː-æː","ɤ(ː?) ɑː æː → ɑ(ː?) oː eː / stressed","æː","eː",
Pre-Finnic-a,"a → æ / {a,e,ê,i,y}(X)(C)(C)_, when unstressed",a,"æ","a_,|aC_,|aC_,|aCC_,|aX_,|aXC_,|aXC_,|aXCC_,|e_,|eC_,|eC_,|eCC_,|eX_,|eXC_,|eXC_,|eXCC_,|ê_,|êC_,|êC_,|êCC_,|êX_,|êXC_,|êXC_,|êXCC_,|i_,|iC_,|iC_,|iCC_,|iX_,|iXC_,|iXC_,|iXCC_,|y_,|yC_,|yC_,|yCC_,|yX_,|yXC_,|yXC_,|yXCC_,"
Pre-Finnic-Aw,"Aw → o / unstressed (possibly analogical)",Aw,o,
Pre-Finnic-i,"i → e / _C, when unstressed",i,e,"_C,"
Pre-Finnic-iw,"iw → u / unstressed",iw,u,
Proto-Finnic-V,"V → Vː / _#",V,"Vː",_#
"Proto-Finnic-ê-ô","ê ô → e o / _(X)Ci","ê",e,_Ci|_XCi
"Proto-Finnic-ê-ô","ê ô → e o / _(X)Ci","ô",o,_Ci|_XCi
"Proto-Finnic-ê","ê → y / _(X)CA","ê",y,_CA|_XCA
"Proto-Finnic-ô","ô → ɯ → i / _(X)CA","ô","ɯ",_CA|_XCA
"Proto-Finnic-ô","ô → ɯ → i / _(X)CA","ɯ",i,_CA|_XCA
Proto-Finnic-ej,"ej → i / unstressed",ej,i,
"Proto-Finnic-æ","æ → e / _j, unstressed","æ",e,"_j,"
"Proto-Finnic-ɑ","ɑ → e / ”{o,u}(X)C_j","ɑ",e,"”oC_j|”oXC_j|”uC_j|”uXC_j"
"Proto-Finnic-ɑ_2","ɑ → o / ”{a,e,i}(X)C_j","ɑ",o,"”aC_j|”aXC_j|”eC_j|”eXC_j|”iC_j|”iXC_j"
Proto-Finnic-ixi-uxu,"ixi uxu → øː oː",ixi,"øː",
Proto-Finnic-ixi-uxu,"ixi uxu → øː oː",uxu,"oː",
Proto-Finnic-xi,"xi → @ / else",xi,@,
Proto-Finnic-x,"x → w / {U,O}_C",x,w,U_C|O_C
Proto-Finnic-x_2,"x → j / {I,E}_C",x,j,I_C|E_C
"Proto-Finnic-UŋA-eŋi","UŋA eŋi → Oː øː","UŋA","Oː",
"Proto-Finnic-UŋA-eŋi","UŋA eŋi → Oː øː","eŋi","øː",
"Proto-Finnic-ŋi","ŋi → @ / V_","ŋi",@,V_
"Proto-Finnic-ŋ","ŋ → n / _t (?)","ŋ",n,_t
"Proto-Finnic-ŋ_2","ŋ → j / _Cʲ (possibly _F instead?)","ŋ",j,"_Cʲ"
"Proto-Finnic-ŋ_3","ŋ → w / _{A,O,U}","ŋ",w,_A|_O|_U
"Proto-Finnic-ŋ_4","ŋ → w / {O,U}_","ŋ",w,O_|U_
"Proto-Finnic-ŋ_5","ŋ → w / _C ! _k","ŋ",w,_C ! _k
"Proto-Finnic-ŋ_6","ŋ → w / C_","ŋ",w,C_
Proto-Finnic-uwa,"uwa → oː (*)",uwa,"oː",
Proto-Finnic-Uwi-ewi,"Uwi ewi → oː øː",Uwi,"oː",
Proto-Finnic-Uwi-ewi,"Uwi ewi → oː øː",ewi,"øː",
Proto-Finnic-i,"i → ∅ / æw_ ",i,"∅","æw_"
Proto-Finnic-wI,"wI → i",wI,i,
Proto-Finnic-ji,"ji → O / {i,e,y}",ji,O,
Proto-Finnic-i_2,"i → ∅ / Aj_#",i,"∅",Aj_#
Proto-Finnic-i_3,"i → ∅ / {o,u}j_",i,"∅",oj_|uj_
Proto-Finnic-j,"j → ∅ / C_i{C,#}",j,"∅",C_iC|C_i#
Proto-Finnic-yje,"yje → øː → jø (?)",yje,"øː",
Proto-Finnic-yje,"yje → øː → jø (?)","øː","jø",
Proto-Finnic-uw-ij,"uw ij → ow ej / _C",uw,ow,_C
Proto-Finnic-uw-ij,"uw ij → ow ej / _C",ij,ej,_C
"Proto-Finnic-tʃ-tsʲ","tʃ tsʲ → ʃ sʲ / #_","tʃ","ʃ",#_
"Proto-Finnic-tʃ-tsʲ","tʃ tsʲ → ʃ sʲ / #_","tsʲ","sʲ",#_
"Proto-Finnic-ðʲ-sʲ-tsʲː-lʲ","ðʲ sʲ tsʲ(ː) lʲ → ð s ts(ː) l","ðʲ","ð",
"Proto-Finnic-ðʲ-sʲ-tsʲː-lʲ","ðʲ sʲ tsʲ(ː) lʲ → ð s ts(ː) l","sʲ",s,
"Proto-Finnic-ðʲ-sʲ-tsʲː-lʲ","ðʲ sʲ tsʲ(ː) lʲ → ð s ts(ː) l","tsʲ|tsʲː","ts|tsː",
"Proto-Finnic-ðʲ-sʲ-tsʲː-lʲ","ðʲ sʲ tsʲ(ː) lʲ → ð s ts(ː) l","lʲ",l,
"Proto-Finnic-nʲ","nʲ → ni / #(C)i_V","nʲ",ni,#i_V|#Ci_V
"Proto-Finnic-nʲ_2","nʲ → in / V_V","nʲ",in,V_V
"Proto-Finnic-nʲ_3","nʲ → n / else","nʲ",n,
Proto-Finnic-n,"n → ∅ / _tː",n,"∅","_tː"
Proto-Finnic-w,"w → ∅ / o_st (*)",w,"∅",o_st
"Proto-Finnic-ð","ð → t","ð",t,
"Proto-Finnic-tʃ","tʃ → ts / _k, in South Estonian","tʃ",ts,"_k,"
Proto-Finnic-tk,"tk → k / in Pre-Livonian (?)",tk,k,
"Proto-Finnic-tʃ-tʃː","tʃ tʃː → t tʃ","tʃ",t,
"Proto-Finnic-tʃ-tʃː","tʃ tʃː → t tʃ","tʃː","tʃ",
Proto-Finnic-t,"t → ts / _i ! following a coronal obstruent or “before a derivational suffix”",t,ts,_i
Proto-Finnic-tj,"tj → ts / ! following a coronal obstruent or “before a derivational suffix”",tj,ts,
"Proto-Finnic-ʃ","ʃ → ʂ → x","ʃ","ʂ",
"Proto-Finnic-ʃ","ʃ → ʂ → x","ʂ",x,
Proto-Finnic-s,"s → x / _l",s,x,_l
Proto-Finnic-n_2,"n → ∅ / _{s,ts}",n,"∅",_s|_ts
Proto-Finnic-w_2,"w → ʋ",w,"ʋ",
Proto-Finnish-j-w,"j w → i U / V_{C,#}",j,i,V_C|V_#
Proto-Finnish-j-w,"j w → i U / V_{C,#}",w,U,V_C|V_#
Proto-Finnish-i,"i → ∅ / {VC,ks}_ at the ends of a suffix",i,"∅",VC_|ks_
Proto-Finnish-e,"e → ∅ / C[+coronal]_%",e,"∅",C[+coronal]_%
"Proto-Finnish-pː-tː-tsː-kː","pː tː tsː kː → pˑ tˑ tsˑ kˑ","pː","pˑ",
"Proto-Finnish-pː-tː-tsː-kː","pː tː tsː kː → pˑ tˑ tsˑ kˑ","tː","tˑ",
"Proto-Finnish-pː-tː-tsː-kː","pː tː tsː kː → pˑ tˑ tsˑ kˑ","tsː","tsˑ",
"Proto-Finnish-pː-tː-tsː-kː","pː tː tsː kː → pˑ tˑ tsˑ kˑ","kː","kˑ",
Proto-Finnish-p-t-ts-s-k,"p t ts s k → b d s z ɡ",p,b,
Proto-Finnish-p-t-ts-s-k,"p t ts s k → b d s z ɡ",t,d,
Proto-Finnish-p-t-ts-s-k,"p t ts s k → b d s z ɡ",ts,s,
Proto-Finnish-p-t-ts-s-k,"p t ts s k → b d s z ɡ",s,z,
Proto-Finnish-p-t-ts-s-k,"p t ts s k → b d s z ɡ",k,"ɡ",
"Proto-Finnish-b-d-ɡ","b d ɡ → β ð ɣ / ! N_",b,"β",N_
"Proto-Finnish-b-d-ɡ","b d ɡ → β ð ɣ / ! N_",d,"ð",N_
"Proto-Finnish-b-d-ɡ","b d ɡ → β ð ɣ / ! N_","ɡ","ɣ",N_
"Proto-Finnish-ɣ","ɣ → j~ʋ","ɣ","j~ʋ",
"Proto-Finnish-βi","βi → U / _#","βi",U,_#
Proto-Finnish-f,"f → ʋ / #_",f,"ʋ",#_
"Proto-Finnish-ʋ","ʋ → ∅ / #_{o,u,y}","ʋ","∅",#_o|#_u|#_y
Proto-Finnish-j,"j → ∅ / _i (*)",j,"∅",_i
"Proto-Finnish-∅","∅ → ʋ / #_{yː,øː,oː}","∅","ʋ","#_yː|#_øː|#_oː"
Proto-Finnish-oi,"oi → o / unstressed",oi,o,
"Proto-Finnish-Vː","Vː → V[-long] / _i","Vː",V[-long],_i
"Proto-Finnish-kt,pt-kts,pts","{kt,pt} {kts,pts} → tː tːs",kt|pt,"tː",
"Proto-Finnish-kt,pt-kts,pts","{kt,pt} {kts,pts} → tː tːs",kts|pts,"tːs",
Proto-Finnish-xk,"xk → kː (even across word boundaries)",xk,"kː",
"Proto-Finnish-tːsn-kxtx-rn-ln","(t(ː))sn kx(tx) rn ln → sː xː rː lː",")sn|tsn|tːsn","sː",
"Proto-Finnish-tːsn-kxtx-rn-ln","(t(ː))sn kx(tx) rn ln → sː xː rː lː",kx|kxtx,"xː",
"Proto-Finnish-tːsn-kxtx-rn-ln","(t(ː))sn kx(tx) rn ln → sː xː rː lː",rn,"rː",
"Proto-Finnish-tːsn-kxtx-rn-ln","(t(ː))sn kx(tx) rn ln → sː xː rː lː",ln,"lː",
"Proto-Finnish-p,t,kp,t,kn-p,t,kp,t,km","{p,t,k}({p,t,k})n {p,t,k}({p,t,k})m → nː mː",pn|ppn|pn|ptn|pn|pkn|tn|tpn|tn|ttn|tn|tkn|kn|kpn|kn|ktn|kn|kkn,"nː",
"Proto-Finnish-p,t,kp,t,kn-p,t,kp,t,km","{p,t,k}({p,t,k})n {p,t,k}({p,t,k})m → nː mː",pm|ppm|pm|ptm|pm|pkm|tm|tpm|tm|ttm|tm|tkm|km|kpm|km|ktm|km|kkm,"mː",
"Proto-Finnish-p,t,k","{p,t,k} → ∅ / _st  ",p|t|k,"∅",_st
"Proto-Finnish-ks,nts-nt","{ks,nts} nt → s t / _#",ks|nts,s,_#
"Proto-Finnish-ks,nts-nt","{ks,nts} nt → s t / _#",nt,t,_#
"Proto-Finnish-ts-tsˑ-tsː","ts tsˑ tsː → s θˑ θː",ts,s,
"Proto-Finnish-ts-tsˑ-tsː","ts tsˑ tsː → s θˑ θː","tsˑ","θˑ",
"Proto-Finnish-ts-tsˑ-tsː","ts tsˑ tsː → s θˑ θː","tsː","θː",
"Proto-Finnish-z,xː","{z,x(ː)} → h","z|x|z|xː",h,
Proto-Finnish-e_2,"e → @ / h_ (suffixal)",e,@,h_
"Proto-Finnish-p,k","{p,k} → h / _t",p|k,h,_t
"Standard-Finnish-mb-nd-ŋɡ","mb nd ŋɡ → mː nː ŋː",mb,"mː",
"Standard-Finnish-mb-nd-ŋɡ","mb nd ŋɡ → mː nː ŋː",nd,"nː",
"Standard-Finnish-mb-nd-ŋɡ","mb nd ŋɡ → mː nː ŋː","ŋɡ","ŋː",
"Standard-Finnish-eː-øː-oː","eː øː oː → ie yø uo","eː",ie,
"Standard-Finnish-eː-øː-oː","eː øː oː → ie yø uo","øː","yø",
"Standard-Finnish-eː-øː-oː","eː øː oː → ie yø uo","oː",uo,
"Standard-Finnish-pˑ-tˑ-θˑ-kˑ","pˑ tˑ θˑ kˑ → p t θ k","pˑ",p,
"Standard-Finnish-pˑ-tˑ-θˑ-kˑ","pˑ tˑ θˑ kˑ → p t θ k","tˑ",t,
"Standard-Finnish-pˑ-tˑ-θˑ-kˑ","pˑ tˑ θˑ kˑ → p t θ k","θˑ","θ",
"Standard-Finnish-pˑ-tˑ-θˑ-kˑ","pˑ tˑ θˑ kˑ → p t θ k","kˑ",k,
Standard-Finnish-j,"j → i / C_, when initial in a suffix",j,i,"C_,"
Standard-Finnish-Vh,"Vh → hV / {j,v,n,r,l}_# (also some double-metathesis triggered by the condition of being m_ ?)",Vh,hV,j_#|v_#|n_#|r_#|l_#
Standard-Finnish-sn,"sn → ns",sn,ns,
Standard-Finnish-V,"V → Vː / h_hC",V,"Vː",h_hC
Standard-Finnish-V_2,"V → Vː / _hC (sporadic)",V,"Vː",_hC
"Standard-Finnish-k,x","{k,x} → ˟ / _#",k|x,"˟",_#
Standard-Finnish-t,"t → ∅ / s_r",t,"∅",s_r
Standard-Finnish-p,"p → β → U / _R",p,"β",_R
Standard-Finnish-p,"p → β → U / _R","β",U,_R
Standard-Finnish-t_2,"t → z → U / _r{A,O}",t,z,_rA|_rO
Standard-Finnish-t_2,"t → z → U / _r{A,O}",z,U,_rA|_rO
Standard-Finnish-t_3,"t → z → @ / _r{i,e}",t,z,_ri|_re
Standard-Finnish-t_3,"t → z → @ / _r{i,e}",z,@,_ri|_re
Standard-Finnish-k,"k → z → @ / _j",k,z,_j
Standard-Finnish-k,"k → z → @ / _j",z,@,_j
Standard-Finnish-k_2,"k → ɣ i / {i,e}_R{i,e}",k,"ɣ",i_Ri|i_Re|e_Ri|e_Re
Standard-Finnish-k_3,"k → ɣ → U / {A,O,U}_R ! R = j",k,"ɣ",A_R|O_R|U_R
Standard-Finnish-k_3,"k → ɣ → U / {A,O,U}_R ! R = j","ɣ",U,A_R|O_R|U_R
"Standard-Finnish-β","β → ʋ","β","ʋ",
"Standard-Finnish-ʋ","ʋ → ∅ / _UC","ʋ","∅",_UC
"Standard-Finnish-ið","ið → j / ”V_V","ið",j,"”V_V"
"Standard-Finnish-lð-rð","lð rð → lː rː","lð","lː",
"Standard-Finnish-lð-rð","lð rð → lː rː","rð","rː",
"Standard-Finnish-ð","ð → ∅ / ! ”V(X)_","ð","∅","”V_|”VX_"
"Standard-Finnish-ɣ","ɣ → j / C_e","ɣ",j,C_e
"Standard-Finnish-ɣ_2","ɣ → ʋ / U_U","ɣ","ʋ",U_U
"Standard-Finnish-ɣ_3","ɣ → ʔ / VV0_V0 ! V0 = U","ɣ","ʔ",VV0_V0
"Standard-Finnish-ɣ_4","ɣ → ∅ / else","ɣ","∅",
Standard-Finnish-h,"h → ∅ / V[-stress](X)_V",h,"∅",V[-stress]_V|V[-stress]X_V
Standard-Finnish-AO,"AO → {A,O,U}ː / unstressed",AO,"Aː|Oː|Uː",
Standard-Finnish-e,"e → i / A_, when unstressed",e,i,"A_,"
Standard-Finnish-Ue,"Ue → eː / unstressed",Ue,"eː",
Standard-Finnish-VU,"VU → Vː / _#",VU,"Vː",_#
Standard-Finnish-iU-OU,"iU OU → Uː Oː",iU,"Uː",
Standard-Finnish-iU-OU,"iU OU → Uː Oː",OU,"Oː",
"Standard-Finnish-æ","æ → a / e(C…)_(C…)o","æ",a,"e_o|e_C…o|eC…_o|eC…_C…o"
Standard-Finnish-e_2,"e → ø / #(C…)_y",e,"ø","#_y|#C…_y"
Standard-Finnish-i,"i → y / #(C…)l_y",i,y,"#l_y|#C…l_y"
Standard-Finnish-i_2,"i → y / #(C…)_væ",i,y,"#_væ|#C…_væ"
"Standard-Finnish-θː-ð","θ(ː) ð → ts d (this latter does have some highly sporadic exceptions; additionally, in some dialects these may become {t(ː),h~t} and {r,∅}, respectively)","θ|θː",ts,
"Standard-Finnish-θː-ð","θ(ː) ð → ts d (this latter does have some highly sporadic exceptions; additionally, in some dialects these may become {t(ː),h~t} and {r,∅}, respectively)","ð",d,
Modern-Standard-Finnish-n,"n → ∅ / _#",n,"∅",_#
Modern-Standard-Finnish-d,"d → ∅ / _r “in inherited vocabulary”",d,"∅",_r
Modern-Standard-Finnish-Va,"Va → Vː / unstressed",Va,"Vː",
"Modern-Standard-Finnish-ie-yɤ-uo","ie yɤ uo → iː yː uː / _A",ie,"iː",_A
"Modern-Standard-Finnish-ie-yɤ-uo","ie yɤ uo → iː yː uː / _A","yɤ","yː",_A
"Modern-Standard-Finnish-ie-yɤ-uo","ie yɤ uo → iː yː uː / _A",uo,"uː",_A
Livonian-t-ts-sC-n-l-r,"t ts s(C) n l r → tʲ tsʲ sʲ(C) nʲ lʲ rʲ / _i",t,"tʲ",_i
Livonian-t-ts-sC-n-l-r,"t ts s(C) n l r → tʲ tsʲ sʲ(C) nʲ lʲ rʲ / _i",ts,"tsʲ",_i
Livonian-t-ts-sC-n-l-r,"t ts s(C) n l r → tʲ tsʲ sʲ(C) nʲ lʲ rʲ / _i",s|sC,"sʲ|sʲC",_i
Livonian-t-ts-sC-n-l-r,"t ts s(C) n l r → tʲ tsʲ sʲ(C) nʲ lʲ rʲ / _i",n,"nʲ",_i
Livonian-t-ts-sC-n-l-r,"t ts s(C) n l r → tʲ tsʲ sʲ(C) nʲ lʲ rʲ / _i",l,"lʲ",_i
Livonian-t-ts-sC-n-l-r,"t ts s(C) n l r → tʲ tsʲ sʲ(C) nʲ lʲ rʲ / _i",r,"rʲ",_i
"Livonian-tsʲ","ts(ʲ) → s(ʲ) / ! n_","ts|tsʲ","s|sʲ",n_
Livonian-e,"e → ɤ / _C(C){a,o,u}",e,"ɤ",_Ca|_Co|_Cu|_CCa|_CCo|_CCu
"Livonian-æ","æ → ɑ / unstressed","æ","ɑ",
Livonian-h,"h → ∅ / {#,C}_",h,"∅",#_|C_
Livonian-Vn,"Vn → Vː / _s",Vn,"Vː",_s
"Livonian-ɑ-æ","ɑ æ → æe / _(C…)i","ɑ","æe","_i|_C…i"
"Livonian-ɑ-æ","ɑ æ → æe / _(C…)i","æ",,"_i|_C…i"
Livonian-V,"V → ə / unstressed ! V = ɑ",V,"ə",
"Livonian-ɑ","ɑ → ə / VC(C)ɑC(C)_# when unstressed","ɑ","ə","VCɑC_#|VCɑCC_#|VCCɑC_#|VCCɑCC_#"
Livonian-Vh,"Vh → Vːɦ / _C, except maybe ! _j and/or _ʋ",Vh,"Vːɦ","_C,"
Livonian-LV,"LV → VL / {#,V,O}_",LV,VL,#_|V_|O_
"Livonian-p-tʲ-sʲ-k","p t(ʲ) s(ʲ) k → b d(ʲ) z(ʲ) ɡ / ! #_ or adjacent to C[-voice]",p,b,#_
"Livonian-p-tʲ-sʲ-k","p t(ʲ) s(ʲ) k → b d(ʲ) z(ʲ) ɡ / ! #_ or adjacent to C[-voice]","t|tʲ","d|dʲ",#_
"Livonian-p-tʲ-sʲ-k","p t(ʲ) s(ʲ) k → b d(ʲ) z(ʲ) ɡ / ! #_ or adjacent to C[-voice]","s|sʲ","z|zʲ",#_
"Livonian-p-tʲ-sʲ-k","p t(ʲ) s(ʲ) k → b d(ʲ) z(ʲ) ɡ / ! #_ or adjacent to C[-voice]",k,"ɡ",#_
"Livonian-∅","∅ → ʔ / (C)V_CV","∅","ʔ",V_CV|CV_CV
"Livonian-ə","ə → ∅ / _#","ə","∅",_#
"Livonian-ə_2","ə → ∅ / VC_CV","ə","∅",VC_CV
Livonian-C,"C → Cː / ʔ_V",C,"Cː","ʔ_V"
"Livonian-dj-lj-rj-ɡj","dj lj rj ɡj → dʲ lːʲ rːʲ jɡ",dj,"dʲ",
"Livonian-dj-lj-rj-ɡj","dj lj rj ɡj → dʲ lːʲ rːʲ jɡ",lj,"lːʲ",
"Livonian-dj-lj-rj-ɡj","dj lj rj ɡj → dʲ lːʲ rːʲ jɡ",rj,"rːʲ",
"Livonian-dj-lj-rj-ɡj","dj lj rj ɡj → dʲ lːʲ rːʲ jɡ","ɡj","jɡ",
"Livonian-ʋ","ʋ → ∅ / {d,z}_","ʋ","∅",d_|z_
"Livonian-lʋ-rʋ-jʋ","lʋ rʋ jʋ → lː rː jː","lʋ","lː",
"Livonian-lʋ-rʋ-jʋ","lʋ rʋ jʋ → lː rː jː","rʋ","rː",
"Livonian-lʋ-rʋ-jʋ","lʋ rʋ jʋ → lː rː jː","jʋ","jː",
"Livonian-ʋ_2","ʋ → ∅ / C_","ʋ","∅",C_
"Livonian-VCːɑ","VCːɑ → VːCɑ","VCːɑ","VːCɑ",
"Livonian-Cː","Cː → C[- long] / ! in verbal forms when V_ə","Cː","C[- long]",
"Livonian-ɑː-au","ɑː au → ɔː ɔu (though sometimes ɑː develops, apparently at least partially due to metathesis?)","ɑː","ɔː",
"Livonian-ɑː-au","ɑː au → ɔː ɔu (though sometimes ɑː develops, apparently at least partially due to metathesis?)",au,"ɔu",
"Livonian-eː-øː-oː-ɤː","eː øː oː ɤ(ː) → iːe yːø uːo ɨ(ː)","eː","iːe",
"Livonian-eː-øː-oː-ɤː","eː øː oː ɤ(ː) → iːe yːø uːo ɨ(ː)","øː","yːø",
"Livonian-eː-øː-oː-ɤː","eː øː oː ɤ(ː) → iːe yːø uːo ɨ(ː)","oː","uːo",
"Livonian-eː-øː-oː-ɤː","eː øː oː ɤ(ː) → iːe yːø uːo ɨ(ː)","ɤ|ɤː","ɨ|ɨː",
"Livonian-ɦ","ɦ → ʔ","ɦ","ʔ",
"Livonian-sʲ-tsʲ-zʲ-dzʲ","sʲ tsʲ zʲ dzʲ → ʃʲ tʃʲ ʒʲ dʒʲ","sʲ","ʃʲ",
"Livonian-sʲ-tsʲ-zʲ-dzʲ","sʲ tsʲ zʲ dzʲ → ʃʲ tʃʲ ʒʲ dʒʲ","tsʲ","tʃʲ",
"Livonian-sʲ-tsʲ-zʲ-dzʲ","sʲ tsʲ zʲ dzʲ → ʃʲ tʃʲ ʒʲ dʒʲ","zʲ","ʒʲ",
"Livonian-sʲ-tsʲ-zʲ-dzʲ","sʲ tsʲ zʲ dzʲ → ʃʲ tʃʲ ʒʲ dʒʲ","dzʲ","dʒʲ",
"Livonian-æy-ey","æy ey → æu eu","æy","æu",
"Livonian-æy-ey","æy ey → æu eu",ey,eu,
"Livonian-y-ø","y ø → i e / else",y,i,
"Livonian-y-ø","y ø → i e / else","ø",e,
Livonian-V_2,"V → Vː / _RC(C)ɑ (includes diphthongs)",V,"Vː","_RCɑ|_RCCɑ"
Livonian-a,"a → aː / VC_",a,"aː",VC_
Livonian-e-o,"e o → eː oː / _Cɑ",e,"eː","_Cɑ"
Livonian-e-o,"e o → eː oː / _Cɑ",o,"oː","_Cɑ"
Livonian-o,"o → oː / _{RC#,i}",o,"oː",_RC#|_i
"Livonian-eː-oː","eː oː → je wo","eː",je,
"Livonian-eː-oː","eː oː → je wo","oː",wo,
Livonian-w,"w → ʋ / #_o",w,"ʋ",#_o
Livonian-wo,"wo → ʊ / P_",wo,"ʊ",P_
"Livonian-ɔː","ɔ(ː) → o(ː)","ɔ|ɔː","o|oː",
Comanche-p-t-ts-s,"p t ts s → v r ∅ h",p,v,
Comanche-p-t-ts-s,"p t ts s → v r ∅ h",t,r,
Comanche-p-t-ts-s,"p t ts s → v r ∅ h",ts,"∅",
Comanche-p-t-ts-s,"p t ts s → v r ∅ h",s,h,
"Comanche-∅","∅ → h / Vu_k","∅",h,Vu_k
Comanche-s,"s → ∅ / Vn_  ",s,"∅",Vn_
"Comanche-ŋ,l","{ŋ,l} → n","ŋ|l",n,
"Comanche-w,j","{w,j} → ∅ / medial",w|j,"∅",
Hopi-p,"p → v / Vn_",p,v,Vn_
Hopi-k,"k → q / _V[+low]",k,q,_V[+low]
Hopi-i,"i → j / h_ ! _#",i,j,h_ ! _#
Hopi-l-h,"l h → n ∅ / medially",l,n,
Hopi-l-h,"l h → n ∅ / medially",h,"∅",
Hopi-w,"w → l / {#,V[+low]}_V[+low]",w,l,#_V[+low]|V[+low]_V[+low]
Hopi-w_2,"w → ŋʷ / ɨn_",w,"ŋʷ","ɨn_"
Hopi-o,"o → ø",o,"ø",
"Luiseño-p","p → v / {Vn,ɨ}_ (the latter “sometimes”)",p,v,"Vn_|ɨ_"
"Luiseño-p_2","p → v / “other conditions not known”",p,v,
"Luiseño-t","t → l / medially",t,l,
"Luiseño-ts","ts → tʃ",ts,"tʃ",
"Luiseño-k","k → q / #_V[+low]",k,q,#_V[+low]
"Luiseño-k_2","k → q / an_",k,q,an_
"Luiseño-k_3","k → x / a_",k,x,a_
"Luiseño-ʔ","ʔ → ∅ / #_","ʔ","∅",#_
"Luiseño-s","s → ʃ ",s,"ʃ",
"Luiseño-l","l → n / medially",l,n,
"Luiseño-o-ɨ","o ɨ → e o",o,e,
"Luiseño-o-ɨ","o ɨ → e o","ɨ",o,
"Luiseño-V","V → ∅ / “in some final syllables (conditions are unknown and it varies by dialect)”",V,"∅",
Nahuatl-t,"t → tɬ / _{a,u}",t,"tɬ",_a|_u
Nahuatl-p,"p → ∅ / {#,Vs}_",p,"∅",#_|Vs_
Nahuatl-s-ts,"s ts → ʃ tʃ / _i",s,"ʃ",_i
Nahuatl-s-ts,"s ts → ʃ tʃ / _i",ts,"tʃ",_i
"Nahuatl-ʔ,h","{ʔ,h} → ∅","ʔ|h","∅",
"Nahuatl-ŋ","ŋ → n","ŋ",n,
Nahuatl-m,"m → n / _#",m,n,_#
Nahuatl-l,"l → n / #_",l,n,#_
Nahuatl-w,"w → ∅ / _o",w,"∅",_o
"Nahuatl-ɨ-u","ɨ u → e {i,e} “(all */u/ affected, but conditions for when it became /i/ or /e/ are not known)”","ɨ",e,
"Nahuatl-ɨ-u","ɨ u → e {i,e} “(all */u/ affected, but conditions for when it became /i/ or /e/ are not known)”",u,i|e,
"Kawaiisu-hkʷ-hʔ-hS-Sː","hkʷ hʔ (h)S Sː → w ʔ S[+ voiced] S[- voiced - long] / V_V","hkʷ",w,V_V
"Kawaiisu-hkʷ-hʔ-hS-Sː","hkʷ hʔ (h)S Sː → w ʔ S[+ voiced] S[- voiced - long] / V_V","hʔ","ʔ",V_V
"Kawaiisu-hkʷ-hʔ-hS-Sː","hkʷ hʔ (h)S Sː → w ʔ S[+ voiced] S[- voiced - long] / V_V",S|hS,"S[+ voiced]",V_V
"Kawaiisu-hkʷ-hʔ-hS-Sː","hkʷ hʔ (h)S Sː → w ʔ S[+ voiced] S[- voiced - long] / V_V","Sː","S[- voiced - long]",V_V
Kawaiisu-ts,"ts → z / V_V",ts,z,V_V
Kawaiisu-hts,"hts → z / V_i",hts,z,V_i
Kawaiisu-h,"h → ∅ / V_tsV",h,"∅",V_tsV
Kawaiisu-h_2,"h → ∅ / _{n,s,ʔ}",h,"∅","_n|_s|_ʔ"
Kawaiisu-p,"p → b / m_",p,b,m_
"Kawaiisu-jː","jː → j","jː",j,
Kawaiisu-a,"a → o / P_",a,o,P_
"Kawaiisu-uV-Vː","uV Vː → uː Vː (not sure if this occurs before or after the previous change)",uV,"uː",
"Kawaiisu-uV-Vː","uV Vː → uː Vː (not sure if this occurs before or after the previous change)","Vː","Vː",
