ID,Text,From,To,Context
"Kemantney-ʔ","ʔ → ∅","ʔ","∅",
"Xamtanga-x,ɢ","{x,ɢ} → ∅","x|ɢ","∅",
"Xamtanga-xʷ,ɢʷ","{xʷ,ɢʷ} → ∅ / at word boundaries","xʷ|ɢʷ","∅",
"Xamtanga-xʷ,ɢʷ_2","{xʷ,ɢʷ} → w / else","xʷ|ɢʷ",w,
"Xamtanga-ts-tʃ-dz","ts tʃ dz → sʼ tʃʼ z",ts,"sʼ",
"Xamtanga-ts-tʃ-dz","ts tʃ dz → sʼ tʃʼ z","tʃ","tʃʼ",
"Xamtanga-ts-tʃ-dz","ts tʃ dz → sʼ tʃʼ z",dz,z,
Xamtanga-k,"k → {k(ʼ),q}",k,"k|q|kʼ|q",
"Xamtanga-kʼ","kʼ → {χʷ,qʷ} / #_","kʼ","χʷ|qʷ",#_
"Xamtanga-kʼ_2","kʼ → q / else","kʼ",q,
"Xamtanga-ʔ","ʔ → ∅","ʔ","∅",
"Proto-North-Erythrean-Vj,w","V{j,w} → Vː / C_C",Vj|Vw,"Vː",C_C
"Proto-North-Erythrean-eː-oː","eː oː → i u","eː",i,
"Proto-North-Erythrean-eː-oː","eː oː → i u","oː",u,
"Proto-North-Erythrean-e,o-i,u","{e,o} {i,u} → a ə",e|o,a,
"Proto-North-Erythrean-e,o-i,u","{e,o} {i,u} → a ə",i|u,"ə",
Proto-North-Erythrean-$VC$,"$VC$ → $CV$ “(This last rule turned all VC roots into CV)”",$VC$,$CV$,
Proto-North-Erythrean-in,"in → ŋ / #_C",in,"ŋ",#_C
"Proto-Chadic-aː","aː → a","aː",a,
"Proto-Chadic-ħ-ʕ","ħ ʕ → h ʔ","ħ",h,
"Proto-Chadic-ħ-ʕ","ħ ʕ → h ʔ","ʕ","ʔ",
"Proto-Chadic-ts-dz-t,tsʼ-tʃʼ","ts dz {t,ts}ʼ tʃʼ → s z sʼ ʃʼ",ts,s,
"Proto-Chadic-ts-dz-t,tsʼ-tʃʼ","ts dz {t,ts}ʼ tʃʼ → s z sʼ ʃʼ",dz,z,
"Proto-Chadic-ts-dz-t,tsʼ-tʃʼ","ts dz {t,ts}ʼ tʃʼ → s z sʼ ʃʼ","tʼ|tsʼ","sʼ",
"Proto-Chadic-ts-dz-t,tsʼ-tʃʼ","ts dz {t,ts}ʼ tʃʼ → s z sʼ ʃʼ","tʃʼ","ʃʼ",
"Proto-Chadic-ŋ","ŋ → ∅ / V_{ts,q}","ŋ","∅",V_ts|V_q
"Proto-Boreafrasian-sʼ","sʼ → s","sʼ",s,
Proto-Boreafrasian-h,"h → ħ / #_Vs",h,"ħ",#_Vs
Proto-Boreafrasian-z,"z → d / “when another sibilant is in the word nearby” and (word-finally?) when “noun-stem final”",z,d,
"Proto-Boreafrasian-ɲ,ŋw","{ɲ,ŋw} → n","ɲ|ŋw",n,
Proto-Boreafrasian-V,"V → ∅ / _# “in nominals”",V,"∅",_#
"Proto-Boreafrasian-ŋ","ŋ → ∅ / #_CV","ŋ","∅",#_CV
"Egypto-Berber-ə","ə → i","ə",i,
Egypto-Berber-h,"h → ħ / _Vz",h,"ħ",_Vz
Egypto-Berber-l,"l → ∅ / #{d,tʼ}_VC",l,"∅","#d_VC|#tʼ_VC"
"Egypto-Berber-ɬ","ɬ → s / #_VC","ɬ",s,#_VC
"Egypto-Berber-ʃ,ts,z-dz-tʃ-tʼ,tʃʼ-dʒ","{ʃ,ts,z} dz tʃ {tʼ,tʃʼ} dʒ → s z ts tsʼ dʒ","ʃ|ts|z",s,
"Egypto-Berber-ʃ,ts,z-dz-tʃ-tʼ,tʃʼ-dʒ","{ʃ,ts,z} dz tʃ {tʼ,tʃʼ} dʒ → s z ts tsʼ dʒ",dz,z,
"Egypto-Berber-ʃ,ts,z-dz-tʃ-tʼ,tʃʼ-dʒ","{ʃ,ts,z} dz tʃ {tʼ,tʃʼ} dʒ → s z ts tsʼ dʒ","tʃ",ts,
"Egypto-Berber-ʃ,ts,z-dz-tʃ-tʼ,tʃʼ-dʒ","{ʃ,ts,z} dz tʃ {tʼ,tʃʼ} dʒ → s z ts tsʼ dʒ","tʼ|tʃʼ","tsʼ",
"Egypto-Berber-ʃ,ts,z-dz-tʃ-tʼ,tʃʼ-dʒ","{ʃ,ts,z} dz tʃ {tʼ,tʃʼ} dʒ → s z ts tsʼ dʒ","dʒ","dʒ",
Egypto-Berber-f,"f → p / #_V{Z,C[-voice],r}	",f,p,#_VZ|#_VC[-voice]|#_Vr
"Egypto-Berber-pʼ","pʼ → p","pʼ",p,
Egypto-Berber-p,"p → b / #dlV_",p,b,#dlV_
Egypto-Berber-xw,"xw → ɣw → ħ",xw,"ɣw",
Egypto-Berber-xw,"xw → ɣw → ħ","ɣw","ħ",
Egypto-Berber-k,"k → ɡ / _{w,j}",k,"ɡ",_w|_j
"Egypto-Berber-CVʕ","CVʕ → ħʔ / ! C = ɡw","CVʕ","ħʔ",
"Egypto-Berber-ɡwVq","ɡwVq → ʕ","ɡwVq","ʕ",
Egypto-Berber-kw,"k(w) → tʃ / #_Vt",k|kw,"tʃ",#_Vt
"Egypto-Berber-ɡw","ɡ(w) → dʒ / #_Vd","ɡ|ɡw","dʒ",#_Vd
Egypto-Berber-xV,"xV → k / _h",xV,k,_h
"Egypto-Berber-Kʷ","Kʷ → K","Kʷ",K,
Egypto-Berber-q,"q → ∅ / _i",q,"∅",_i
Egypto-Berber-q_2,"q → i / #_V{Z,C[+dental]}",q,i,#_VZ|#_VC[+dental]
"Egypto-Berber-ʕ","ʕ → i / #_VR","ʕ",i,#_VR
Egypto-Berber-qu,"qu → w / _{f,s} (sporadic)",qu,w,_f|_s
"Egypto-Berber-ʔ","ʔ → ʕ / _V{n,r,ɡ}","ʔ","ʕ","_Vn|_Vr|_Vɡ"
"Egypto-Berber-h,ħ,q","{h,ħ,q} → ʕ / C[+voice]_V","h|ħ|q","ʕ",C[+voice]_V
Egypto-Berber-q_3,"q → ʔ / _C[+dental]",q,"ʔ",_C[+dental]
"Egypto-Berber-h,ħ","{h,ħ} → ʔ / KV_","h|ħ","ʔ",KV_
Egypto-Berber-q_4,"q → ʔ / h_",q,"ʔ",h_
Egypto-Berber-qh,"qh → ʕħ",qh,"ʕħ",
"Egypto-Berber-ɣ","ɣ → ʕ / ħ_","ɣ","ʕ","ħ_"
"Egypto-Berber-tlʼ","tlʼ → dl / #_Vħr","tlʼ",dl,"#_Vħr"
Egypto-Berber-O+lateral,"O[+lateral] → O[+palatal]",O[+lateral],O[+palatal],
Egypto-Berber-r,"r → l / #_V(V)O[+labial]",r,l,#_VO[+labial]|#_VVO[+labial]
Egypto-Berber-r_2,"r → ʔ / C_{t,w,j}# ! C = {ɡ,m,n,r,w,ʃ,x}",r,"ʔ",C_t#|C_w#|C_j#
Egypto-Berber-l_2,"l → j / #_iC ?  ",l,j,#_iC
Egypto-Berber-l_3,"l → r / #nV_C",l,r,#nV_C
Egypto-Berber-l_4,"l → n",l,n,
Coptic-n,"n → l / #_Vb",n,l,#_Vb
Coptic-n_2,"n → l / #_(V){s,ʃ,h}V{m,b}#",n,l,"#_sVm#|#_sVb#|#_ʃVm#|#_ʃVb#|#_hVm#|#_hVb#|#_VsVm#|#_VsVb#|#_VʃVm#|#_VʃVb#|#_VhVm#|#_VhVb#"
Coptic-n_3,"n → l / #_V{m,b}{s,ʃ,h}",n,l,"#_Vms|#_Vmʃ|#_Vmh|#_Vbs|#_Vbʃ|#_Vbh"
Coptic-n_4,"n → l / #_Vk",n,l,#_Vk
Coptic-n_5,"n → l / mV_C",n,l,mV_C
Coptic-n_6,"n → l / CV_m",n,l,CV_m
Coptic-r,"r → l / #(C)_c(C)# ?  ",r,l,#_c#|#_cC#|#C_c#|#C_cC#
Coptic-r_2,"r → l / #o_#",r,l,#o_#
Proto-Semitic-q,"q → ʕ",q,"ʕ",
"Proto-Semitic-i,u","{i,u} → ə",i|u,"ə",
"Proto-Semitic-tlʼ","tlʼ → ɬ / _C[+sibilant]","tlʼ","ɬ",_C[+sibilant]
"Proto-Semitic-ɣ","ɣ → ɡ / #_VCH","ɣ","ɡ",#_VCH
"Proto-Semitic-ɣw","ɣ(w) → ɡ / #_Vx","ɣ|ɣw","ɡ",#_Vx
"Proto-Semitic-kʼw","kʼ(w) → k / #dlV_","kʼ|kʼw",k,#dlV_
Proto-Semitic-w,"w → ∅ / _C",w,"∅",_C
"Proto-Semitic-ʔ","ʔ → ʕ / #K_r#","ʔ","ʕ",#K_r#
Classical-Arabic-p,"p → f",p,f,
"Classical-Arabic-θˤ-kˤ","θˤ kˤ → ðˤ q","θˤ","ðˤ",
"Classical-Arabic-θˤ-kˤ","θˤ kˤ → ðˤ q","kˤ",q,
"Classical-Arabic-ɡ","ɡ → ɡʲ → dʒ","ɡ","ɡʲ",
"Classical-Arabic-ɡ","ɡ → ɡʲ → dʒ","ɡʲ","dʒ",
Classical-Arabic-s,"s → {ʃ,h} / in “anaphora and certain derivational prefixes. . .[t]his is common to many other Semitic languages as well”",s,"ʃ|h",
"Classical-Arabic-ʃ","ʃ → s","ʃ",s,
"Classical-Arabic-ɬ","ɬ → ʃ","ɬ","ʃ",
